age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
36.0,management,single,tertiary,no,553.0,no,no,cellular,11,aug,106.0,2.0,-1.0,0.0,unknown,no
52.0,blue-collar,married,secondary,no,1117.0,yes,no,cellular,13,may,365.0,1.0,-1.0,0.0,unknown,no
32.0,technician,married,tertiary,no,396.0,yes,no,cellular,13,may,205.0,3.0,-1.0,0.0,unknown,no
32.0,technician,single,tertiary,no,2204.0,yes,no,cellular,21,nov,11.0,4.0,-1.0,0.0,unknown,no
34.0,management,single,tertiary,no,872.0,yes,no,unknown,7,may,105.0,2.0,-1.0,0.0,unknown,no
55.0,blue-collar,married,primary,no,145.0,no,no,telephone,2,feb,59.0,3.0,,,other,no
26.0,blue-collar,married,primary,no,0.0,yes,no,unknown,21,may,425.0,1.0,-1.0,0.0,unknown,no
32.0,entrepreneur,single,primary,yes,-849.0,yes,yes,cellular,4,feb,204.0,1.0,-1.0,0.0,unknown,no
61.0,admin.,married,unknown,no,,yes,no,cellular,27,jan,181.0,1.0,,,success,yes
45.0,blue-collar,divorced,primary,no,844.0,no,no,unknown,5,jun,,3.0,-1.0,0.0,unknown,yes
37.0,technician,single,secondary,no,228.0,yes,no,cellular,20,aug,,2.0,-1.0,0.0,unknown,no
38.0,technician,single,secondary,no,50.0,no,no,cellular,29,aug,98.0,2.0,-1.0,0.0,unknown,no
34.0,technician,married,tertiary,no,1539.0,yes,no,cellular,15,jun,441.0,1.0,,,other,yes
53.0,blue-collar,married,secondary,no,2231.0,yes,no,cellular,14,jul,272.0,3.0,-1.0,0.0,unknown,no
48.0,admin.,married,secondary,no,3064.0,yes,no,telephone,15,jul,159.0,2.0,-1.0,0.0,unknown,no
57.0,management,married,secondary,no,82.0,no,yes,telephone,4,feb,140.0,1.0,-1.0,0.0,unknown,no
33.0,self-employed,single,tertiary,no,2155.0,no,no,cellular,17,nov,295.0,1.0,-1.0,0.0,unknown,no
36.0,retired,single,secondary,no,101.0,yes,yes,unknown,26,may,314.0,1.0,-1.0,0.0,unknown,no
54.0,technician,divorced,secondary,no,784.0,yes,yes,unknown,15,may,579.0,1.0,-1.0,0.0,unknown,no
41.0,blue-collar,married,primary,no,-516.0,no,yes,telephone,8,jul,554.0,3.0,-1.0,0.0,unknown,no
63.0,retired,married,secondary,no,415.0,yes,no,cellular,7,oct,323.0,1.0,-1.0,0.0,unknown,no
48.0,management,married,tertiary,no,,no,no,cellular,13,aug,227.0,2.0,-1.0,0.0,unknown,no
48.0,services,married,secondary,no,1355.0,no,no,cellular,4,jul,134.0,2.0,-1.0,0.0,unknown,no
56.0,admin.,married,secondary,no,,no,no,cellular,7,oct,223.0,1.0,-1.0,0.0,unknown,no
51.0,blue-collar,divorced,secondary,no,203.0,yes,no,cellular,8,may,134.0,1.0,,,failure,no
31.0,services,married,secondary,no,338.0,yes,no,cellular,28,jan,155.0,1.0,-1.0,0.0,unknown,no
29.0,technician,married,secondary,no,444.0,yes,no,cellular,21,jul,130.0,4.0,-1.0,0.0,unknown,no
41.0,management,married,secondary,no,0.0,no,yes,cellular,7,jul,630.0,3.0,-1.0,0.0,unknown,no
32.0,technician,single,tertiary,no,360.0,no,no,cellular,19,nov,164.0,2.0,-1.0,0.0,unknown,no
37.0,management,married,tertiary,no,0.0,no,no,cellular,16,jul,268.0,2.0,,,success,yes
42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5,may,380.0,1.0,-1.0,0.0,unknown,no
31.0,management,single,tertiary,no,,yes,no,unknown,9,may,154.0,2.0,-1.0,0.0,unknown,no
41.0,services,married,tertiary,no,412.0,yes,no,unknown,3,jun,154.0,5.0,-1.0,0.0,unknown,no
56.0,retired,married,secondary,no,344.0,yes,no,unknown,15,may,221.0,1.0,-1.0,0.0,unknown,no
54.0,management,divorced,tertiary,no,3222.0,no,no,cellular,14,aug,67.0,2.0,-1.0,0.0,unknown,no
41.0,blue-collar,divorced,secondary,no,174.0,yes,no,cellular,14,may,367.0,2.0,,,other,no
40.0,technician,single,secondary,no,591.0,no,yes,cellular,14,aug,87.0,6.0,-1.0,0.0,unknown,no
50.0,blue-collar,divorced,primary,no,388.0,no,no,cellular,5,feb,,1.0,-1.0,0.0,unknown,no
40.0,unemployed,married,secondary,no,219.0,yes,no,cellular,17,nov,204.0,2.0,,,failure,no
27.0,admin.,divorced,secondary,no,451.0,yes,no,cellular,16,jul,652.0,1.0,-1.0,0.0,unknown,yes
60.0,retired,married,primary,no,5.0,no,no,cellular,26,aug,63.0,2.0,-1.0,0.0,unknown,no
28.0,admin.,single,secondary,no,177.0,yes,yes,cellular,6,may,150.0,1.0,-1.0,0.0,unknown,no
52.0,services,married,secondary,no,657.0,no,no,telephone,7,jul,398.0,2.0,,,failure,yes
37.0,management,married,tertiary,no,1315.0,no,no,cellular,30,jun,224.0,1.0,-1.0,0.0,unknown,yes
51.0,blue-collar,married,primary,no,1466.0,yes,no,unknown,7,may,406.0,2.0,-1.0,0.0,unknown,no
41.0,technician,single,secondary,no,879.0,no,yes,cellular,7,jul,60.0,4.0,-1.0,0.0,unknown,no
35.0,blue-collar,single,primary,no,293.0,yes,no,unknown,30,may,521.0,2.0,-1.0,0.0,unknown,no
38.0,admin.,married,secondary,no,424.0,yes,no,cellular,17,apr,279.0,1.0,-1.0,0.0,unknown,no
34.0,blue-collar,married,secondary,no,1831.0,yes,no,unknown,20,may,203.0,2.0,-1.0,0.0,unknown,no
39.0,blue-collar,married,primary,no,111.0,no,no,cellular,18,nov,201.0,2.0,-1.0,0.0,unknown,no
34.0,blue-collar,married,primary,no,455.0,yes,no,unknown,20,jun,372.0,3.0,-1.0,0.0,unknown,no
27.0,services,single,secondary,no,-195.0,yes,no,cellular,18,may,391.0,1.0,-1.0,0.0,unknown,yes
32.0,management,single,tertiary,no,,no,no,cellular,14,aug,165.0,2.0,-1.0,0.0,unknown,no
57.0,blue-collar,married,secondary,no,,no,no,cellular,11,aug,231.0,5.0,-1.0,0.0,unknown,no
41.0,unknown,single,tertiary,no,1567.0,no,no,cellular,1,jul,291.0,2.0,-1.0,0.0,unknown,no
41.0,admin.,married,tertiary,no,,yes,no,unknown,14,may,149.0,2.0,-1.0,0.0,unknown,no
30.0,admin.,single,tertiary,no,261.0,no,no,cellular,19,oct,233.0,1.0,,,failure,no
36.0,blue-collar,divorced,secondary,no,2843.0,no,no,cellular,12,feb,473.0,1.0,,,success,no
31.0,unemployed,single,primary,no,406.0,no,no,cellular,4,feb,,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,6,may,337.0,1.0,-1.0,0.0,unknown,no
38.0,management,single,tertiary,no,493.0,yes,no,cellular,11,may,553.0,1.0,,,failure,no
49.0,technician,married,secondary,no,,no,no,telephone,21,nov,345.0,2.0,-1.0,0.0,unknown,no
57.0,services,single,primary,no,,yes,no,telephone,13,may,65.0,2.0,-1.0,0.0,unknown,no
34.0,management,single,secondary,no,524.0,no,no,unknown,13,aug,9.0,1.0,-1.0,0.0,unknown,no
32.0,management,single,tertiary,no,574.0,yes,no,cellular,14,apr,259.0,2.0,,,failure,no
37.0,blue-collar,married,secondary,no,427.0,yes,yes,unknown,9,jun,371.0,3.0,-1.0,0.0,unknown,no
33.0,self-employed,married,tertiary,no,483.0,yes,no,cellular,3,feb,280.0,2.0,-1.0,0.0,unknown,no
56.0,unemployed,married,primary,no,3391.0,no,no,cellular,21,apr,243.0,1.0,-1.0,0.0,unknown,yes
27.0,housemaid,married,primary,no,0.0,yes,no,cellular,23,jul,435.0,3.0,-1.0,0.0,unknown,no
21.0,student,single,secondary,no,2488.0,no,no,cellular,30,jun,258.0,6.0,,,success,yes
58.0,management,married,tertiary,no,1517.0,yes,no,telephone,29,jul,7.0,5.0,-1.0,0.0,unknown,no
32.0,self-employed,married,secondary,no,217.0,yes,yes,cellular,15,jul,317.0,5.0,-1.0,0.0,unknown,no
33.0,blue-collar,single,secondary,no,22.0,no,no,cellular,30,jan,76.0,2.0,,,failure,no
25.0,student,single,secondary,no,331.0,no,no,telephone,26,aug,170.0,4.0,-1.0,0.0,unknown,yes
25.0,technician,single,secondary,no,505.0,no,yes,cellular,17,nov,386.0,2.0,-1.0,0.0,unknown,yes
30.0,services,married,secondary,no,1808.0,yes,no,cellular,18,may,83.0,2.0,-1.0,0.0,unknown,no
22.0,admin.,single,secondary,no,,no,yes,cellular,19,aug,65.0,1.0,-1.0,0.0,unknown,no
39.0,blue-collar,married,primary,no,52.0,no,no,cellular,13,aug,69.0,1.0,-1.0,0.0,unknown,no
46.0,management,divorced,tertiary,no,25.0,no,no,unknown,17,jun,564.0,2.0,-1.0,0.0,unknown,no
31.0,admin.,divorced,secondary,no,1890.0,yes,no,cellular,21,jul,588.0,1.0,-1.0,0.0,unknown,no
45.0,blue-collar,married,primary,no,419.0,no,no,cellular,18,aug,113.0,4.0,-1.0,0.0,unknown,no
32.0,technician,married,secondary,no,2693.0,yes,no,unknown,21,may,16.0,1.0,-1.0,0.0,unknown,no
36.0,blue-collar,married,secondary,no,-231.0,no,yes,cellular,15,jul,,2.0,-1.0,0.0,unknown,no
51.0,management,single,tertiary,yes,-55.0,yes,no,cellular,11,may,281.0,2.0,,,failure,no
34.0,self-employed,single,tertiary,no,462.0,no,no,cellular,21,aug,,3.0,-1.0,0.0,unknown,yes
24.0,unemployed,single,secondary,no,119.0,no,no,unknown,15,sep,51.0,1.0,-1.0,0.0,unknown,no
45.0,technician,single,secondary,no,586.0,no,yes,cellular,28,jul,32.0,3.0,-1.0,0.0,unknown,no
32.0,blue-collar,single,secondary,no,228.0,no,no,telephone,5,feb,176.0,1.0,,,failure,no
,retired,divorced,tertiary,no,,no,no,cellular,14,apr,161.0,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,married,primary,no,168.0,yes,no,cellular,18,nov,187.0,3.0,-1.0,0.0,unknown,no
37.0,blue-collar,married,primary,no,0.0,yes,no,unknown,26,may,24.0,1.0,-1.0,0.0,unknown,no
43.0,blue-collar,married,unknown,yes,-715.0,yes,no,unknown,30,may,67.0,3.0,-1.0,0.0,unknown,no
48.0,admin.,married,unknown,no,0.0,yes,no,cellular,8,may,85.0,1.0,,,failure,no
27.0,technician,single,secondary,no,769.0,yes,no,unknown,9,may,317.0,2.0,-1.0,0.0,unknown,no
33.0,management,single,tertiary,no,0.0,no,no,cellular,28,aug,236.0,,-1.0,0.0,unknown,no
29.0,admin.,single,secondary,no,428.0,yes,yes,cellular,7,may,54.0,1.0,,,failure,no
34.0,management,single,tertiary,no,0.0,no,no,cellular,5,feb,71.0,1.0,-1.0,0.0,unknown,no
52.0,management,married,tertiary,no,-970.0,yes,no,cellular,4,feb,489.0,1.0,-1.0,0.0,unknown,yes
60.0,management,married,unknown,no,,no,no,unknown,19,jun,39.0,2.0,-1.0,0.0,unknown,no
32.0,management,divorced,tertiary,no,948.0,no,no,cellular,12,aug,204.0,2.0,-1.0,0.0,unknown,no
32.0,management,single,tertiary,no,0.0,yes,no,cellular,22,jul,455.0,2.0,-1.0,0.0,unknown,no
56.0,services,divorced,unknown,no,1877.0,yes,no,unknown,30,may,86.0,1.0,-1.0,0.0,unknown,no
31.0,management,single,tertiary,no,874.0,yes,no,cellular,18,nov,190.0,2.0,-1.0,0.0,unknown,no
42.0,admin.,married,secondary,no,323.0,yes,yes,unknown,8,may,280.0,2.0,-1.0,0.0,unknown,no
35.0,management,married,tertiary,no,106.0,no,yes,cellular,11,aug,588.0,2.0,-1.0,0.0,unknown,no
56.0,retired,married,primary,no,1906.0,no,yes,unknown,19,jun,45.0,,-1.0,0.0,unknown,no
48.0,technician,married,secondary,no,1152.0,yes,no,cellular,21,jul,168.0,5.0,-1.0,0.0,unknown,no
46.0,admin.,married,secondary,no,179.0,yes,no,cellular,29,jan,194.0,4.0,,,other,no
37.0,technician,single,unknown,no,391.0,yes,no,unknown,8,may,103.0,3.0,-1.0,0.0,unknown,no
41.0,entrepreneur,married,unknown,no,89.0,yes,no,unknown,6,may,333.0,2.0,-1.0,0.0,unknown,no
36.0,management,single,tertiary,no,442.0,yes,yes,cellular,29,jul,102.0,3.0,-1.0,0.0,unknown,no
45.0,unemployed,divorced,primary,yes,-249.0,yes,yes,unknown,1,jul,92.0,1.0,-1.0,0.0,unknown,no
55.0,entrepreneur,married,secondary,no,,no,no,cellular,6,feb,213.0,2.0,-1.0,0.0,unknown,no
39.0,technician,married,secondary,no,501.0,no,no,unknown,26,may,289.0,1.0,-1.0,0.0,unknown,no
35.0,technician,divorced,secondary,no,308.0,no,no,cellular,22,aug,77.0,2.0,-1.0,0.0,unknown,no
55.0,admin.,married,secondary,no,602.0,no,no,cellular,1,jun,324.0,3.0,,,success,yes
55.0,technician,married,secondary,no,273.0,yes,no,cellular,29,jan,84.0,3.0,,,failure,no
27.0,self-employed,single,secondary,no,50.0,no,no,cellular,29,jan,168.0,1.0,-1.0,0.0,unknown,no
34.0,technician,married,secondary,no,1641.0,yes,no,cellular,17,apr,380.0,1.0,-1.0,0.0,unknown,no
34.0,blue-collar,married,tertiary,no,20.0,no,no,unknown,4,oct,10.0,1.0,-1.0,0.0,unknown,no
25.0,admin.,single,secondary,no,,yes,no,unknown,28,may,199.0,2.0,-1.0,0.0,unknown,no
41.0,admin.,single,secondary,no,-256.0,no,yes,unknown,9,may,35.0,3.0,-1.0,0.0,unknown,no
43.0,services,married,secondary,no,978.0,yes,yes,unknown,26,may,82.0,2.0,-1.0,0.0,unknown,no
28.0,management,single,tertiary,no,80.0,no,no,cellular,20,oct,,2.0,,,failure,yes
31.0,admin.,single,secondary,no,2104.0,yes,no,unknown,3,jun,455.0,1.0,-1.0,0.0,unknown,no
,housemaid,married,secondary,no,499.0,no,no,telephone,16,mar,80.0,4.0,-1.0,0.0,unknown,no
45.0,blue-collar,divorced,secondary,no,1269.0,yes,no,cellular,29,jan,549.0,2.0,-1.0,0.0,unknown,no
48.0,technician,married,tertiary,no,310.0,no,no,unknown,6,may,135.0,1.0,-1.0,0.0,unknown,no
32.0,blue-collar,single,secondary,no,1143.0,yes,yes,cellular,10,jul,412.0,1.0,-1.0,0.0,unknown,no
42.0,technician,married,secondary,no,2980.0,no,no,unknown,20,jun,101.0,3.0,-1.0,0.0,unknown,no
37.0,management,single,tertiary,no,37.0,no,no,cellular,28,jan,253.0,2.0,-1.0,0.0,unknown,no
40.0,admin.,single,secondary,no,462.0,yes,yes,cellular,6,apr,272.0,1.0,,,other,no
32.0,admin.,married,secondary,no,1031.0,yes,no,cellular,17,jul,84.0,1.0,-1.0,0.0,unknown,no
42.0,management,married,tertiary,no,,no,no,cellular,20,nov,135.0,2.0,-1.0,0.0,unknown,no
43.0,admin.,married,secondary,no,-465.0,yes,yes,cellular,23,jul,166.0,1.0,-1.0,0.0,unknown,no
44.0,admin.,married,secondary,no,,yes,yes,cellular,31,jul,18.0,,-1.0,0.0,unknown,no
37.0,admin.,married,secondary,no,176.0,yes,no,cellular,5,may,147.0,2.0,,,failure,no
37.0,unknown,married,unknown,no,1699.0,no,no,unknown,9,jun,63.0,1.0,-1.0,0.0,unknown,no
37.0,admin.,married,tertiary,no,0.0,yes,no,cellular,17,nov,65.0,2.0,,,failure,no
28.0,technician,single,tertiary,no,172.0,yes,yes,cellular,2,feb,194.0,2.0,-1.0,0.0,unknown,no
32.0,services,single,secondary,no,0.0,no,yes,cellular,11,jul,333.0,2.0,-1.0,0.0,unknown,no
34.0,admin.,single,secondary,no,,yes,no,cellular,15,may,14.0,5.0,-1.0,0.0,unknown,no
40.0,admin.,divorced,secondary,no,6.0,no,no,unknown,11,jun,140.0,1.0,-1.0,0.0,unknown,no
34.0,services,married,secondary,no,-62.0,yes,no,unknown,16,jun,109.0,3.0,-1.0,0.0,unknown,no
34.0,self-employed,married,tertiary,no,1972.0,yes,no,cellular,23,jul,61.0,2.0,-1.0,0.0,unknown,no
34.0,admin.,married,tertiary,no,899.0,yes,no,telephone,19,nov,377.0,3.0,,,success,no
37.0,services,single,secondary,no,21.0,yes,no,cellular,2,feb,96.0,1.0,,,other,no
36.0,technician,married,secondary,no,23.0,yes,no,cellular,8,may,152.0,2.0,,,failure,no
56.0,retired,married,secondary,no,-1206.0,yes,no,cellular,15,jun,382.0,2.0,-1.0,0.0,unknown,yes
49.0,blue-collar,married,primary,no,0.0,yes,yes,telephone,23,jul,97.0,6.0,-1.0,0.0,unknown,no
33.0,self-employed,married,secondary,no,215.0,yes,no,cellular,29,jul,543.0,,-1.0,0.0,unknown,no
30.0,management,single,tertiary,no,1372.0,no,no,cellular,20,nov,240.0,2.0,-1.0,0.0,unknown,no
36.0,services,married,secondary,no,1981.0,no,no,unknown,17,jun,48.0,2.0,-1.0,0.0,unknown,no
23.0,student,single,secondary,no,,no,no,cellular,5,jun,471.0,2.0,-1.0,0.0,unknown,no
57.0,retired,divorced,secondary,no,39.0,yes,no,cellular,30,jul,354.0,3.0,-1.0,0.0,unknown,no
27.0,blue-collar,single,secondary,no,,yes,no,unknown,30,may,435.0,2.0,-1.0,0.0,unknown,no
38.0,services,married,secondary,no,1.0,no,yes,cellular,21,nov,152.0,2.0,-1.0,0.0,unknown,no
42.0,technician,married,tertiary,no,782.0,no,no,cellular,3,apr,285.0,1.0,-1.0,0.0,unknown,no
,retired,married,secondary,no,,no,no,telephone,15,apr,185.0,1.0,,,success,yes
34.0,technician,single,tertiary,no,992.0,yes,no,cellular,4,may,301.0,1.0,,,success,no
48.0,technician,married,secondary,no,1526.0,no,no,cellular,6,aug,273.0,2.0,-1.0,0.0,unknown,no
35.0,technician,single,tertiary,no,2658.0,yes,no,cellular,19,aug,,2.0,,,failure,yes
39.0,management,divorced,tertiary,no,1315.0,yes,no,cellular,19,nov,,4.0,,,failure,no
29.0,blue-collar,single,tertiary,no,455.0,no,no,telephone,21,apr,403.0,1.0,-1.0,0.0,unknown,yes
45.0,technician,single,tertiary,no,0.0,yes,no,cellular,18,nov,139.0,2.0,-1.0,0.0,unknown,no
42.0,technician,married,secondary,no,2030.0,yes,yes,cellular,9,jul,196.0,1.0,-1.0,0.0,unknown,no
29.0,technician,married,secondary,no,1599.0,yes,no,cellular,8,jul,115.0,1.0,,,failure,no
38.0,services,single,secondary,no,-196.0,yes,no,cellular,2,feb,60.0,1.0,,,failure,no
56.0,retired,married,secondary,no,1333.0,no,no,cellular,28,aug,17.0,,-1.0,0.0,unknown,no
36.0,technician,single,secondary,no,,yes,no,cellular,13,aug,141.0,3.0,-1.0,0.0,unknown,no
25.0,blue-collar,single,secondary,no,-350.0,yes,no,unknown,23,jun,95.0,3.0,-1.0,0.0,unknown,no
38.0,technician,married,tertiary,no,432.0,yes,no,cellular,15,may,10.0,2.0,,,other,no
57.0,self-employed,married,secondary,no,,no,no,cellular,19,nov,198.0,1.0,-1.0,0.0,unknown,no
31.0,management,married,tertiary,yes,-253.0,no,no,cellular,12,aug,220.0,4.0,-1.0,0.0,unknown,no
42.0,management,married,tertiary,no,372.0,yes,no,cellular,3,aug,654.0,2.0,-1.0,0.0,unknown,yes
45.0,technician,married,secondary,no,1410.0,no,no,cellular,11,aug,71.0,2.0,-1.0,0.0,unknown,no
30.0,blue-collar,married,secondary,no,975.0,yes,no,cellular,13,may,256.0,2.0,,,failure,no
49.0,blue-collar,married,primary,no,305.0,yes,yes,telephone,10,jul,,,-1.0,0.0,unknown,no
49.0,services,married,secondary,no,400.0,no,no,cellular,21,aug,151.0,3.0,-1.0,0.0,unknown,no
53.0,retired,married,tertiary,no,-22.0,yes,no,cellular,31,jul,20.0,3.0,-1.0,0.0,unknown,no
37.0,technician,married,secondary,no,,yes,no,unknown,26,may,178.0,5.0,-1.0,0.0,unknown,no
49.0,blue-collar,married,primary,no,365.0,no,no,unknown,26,may,59.0,2.0,-1.0,0.0,unknown,no
41.0,self-employed,married,primary,no,204.0,no,no,cellular,13,aug,111.0,,-1.0,0.0,unknown,no
54.0,management,married,primary,no,1691.0,yes,no,cellular,20,nov,186.0,1.0,-1.0,0.0,unknown,no
32.0,services,single,secondary,no,406.0,yes,no,unknown,6,may,227.0,1.0,-1.0,0.0,unknown,no
33.0,technician,married,secondary,no,-204.0,no,no,cellular,15,may,297.0,3.0,-1.0,0.0,unknown,no
33.0,technician,married,secondary,no,359.0,yes,no,cellular,20,apr,210.0,1.0,,,other,no
36.0,blue-collar,married,primary,no,123.0,yes,no,cellular,18,may,9.0,1.0,-1.0,0.0,unknown,no
35.0,technician,married,tertiary,no,0.0,yes,yes,cellular,23,sep,112.0,1.0,,,other,no
52.0,unknown,married,secondary,no,142.0,no,no,cellular,25,aug,112.0,6.0,-1.0,0.0,unknown,no
40.0,entrepreneur,married,tertiary,no,3571.0,no,no,unknown,9,jun,222.0,3.0,-1.0,0.0,unknown,no
44.0,technician,single,secondary,no,33.0,yes,no,cellular,13,may,195.0,3.0,,,failure,no
45.0,blue-collar,single,secondary,no,0.0,yes,no,cellular,26,jul,,2.0,,,success,no
30.0,student,single,secondary,no,3096.0,no,no,cellular,26,jan,123.0,1.0,-1.0,0.0,unknown,no
48.0,technician,divorced,secondary,yes,20.0,no,no,cellular,27,aug,145.0,3.0,-1.0,0.0,unknown,no
33.0,blue-collar,married,secondary,no,3576.0,yes,no,cellular,2,apr,124.0,1.0,,,other,no
57.0,technician,married,unknown,no,206.0,yes,no,unknown,5,may,216.0,3.0,-1.0,0.0,unknown,no
57.0,housemaid,married,primary,no,,no,no,unknown,6,jun,69.0,3.0,-1.0,0.0,unknown,no
51.0,unemployed,married,tertiary,no,1634.0,yes,no,cellular,22,jul,168.0,4.0,-1.0,0.0,unknown,no
34.0,admin.,single,secondary,no,1.0,yes,no,cellular,22,jul,483.0,,-1.0,0.0,unknown,no
50.0,self-employed,married,tertiary,no,,no,no,cellular,19,nov,,3.0,-1.0,0.0,unknown,no
44.0,management,married,tertiary,no,,no,no,cellular,28,aug,125.0,,-1.0,0.0,unknown,no
27.0,admin.,married,secondary,no,-247.0,yes,yes,unknown,4,jun,344.0,2.0,-1.0,0.0,unknown,no
50.0,blue-collar,married,secondary,no,606.0,yes,no,unknown,14,may,,2.0,-1.0,0.0,unknown,no
36.0,management,married,tertiary,no,0.0,yes,no,cellular,28,jan,60.0,1.0,,,other,no
42.0,management,married,secondary,no,-189.0,yes,no,unknown,12,may,247.0,2.0,-1.0,0.0,unknown,no
32.0,unemployed,single,secondary,no,0.0,no,no,cellular,27,may,123.0,2.0,-1.0,0.0,unknown,no
42.0,management,married,tertiary,no,484.0,yes,no,cellular,11,jul,144.0,2.0,-1.0,0.0,unknown,no
43.0,technician,married,secondary,no,0.0,no,yes,cellular,8,may,9.0,2.0,,,failure,no
31.0,management,married,tertiary,no,395.0,yes,no,cellular,9,feb,155.0,3.0,-1.0,0.0,unknown,no
32.0,management,married,tertiary,no,2349.0,no,no,cellular,14,aug,134.0,5.0,-1.0,0.0,unknown,no
55.0,blue-collar,divorced,primary,no,410.0,no,yes,cellular,11,jul,221.0,2.0,-1.0,0.0,unknown,no
58.0,retired,married,primary,no,3401.0,yes,no,cellular,3,feb,84.0,3.0,,,failure,no
46.0,blue-collar,married,primary,no,222.0,no,no,cellular,8,aug,71.0,2.0,-1.0,0.0,unknown,no
